KDCPUM,KDPKAB,WADMKC,WADMKK,WADMPR,aet,drought_class,month,pdsi,pet,pr,ro,soil,tmmn,tmmx,vap,vpd,year
11.04.21,11.04,Rusip Antara,Aceh Tengah,Aceh,741.7677152843978,Wet,11,223.65395614871304,741.7677152843978,243.27486495074675,169.17047982205278,2014.8172863044172,185.8692405465523,260.6421989196059,2416.075786463299,36.30441690498888,2023
11.05.01,11.05,Johan Pahlawan,Aceh Barat,Aceh,854.0031545741325,Wet,11,270.1451104100947,854.0031545741325,365.4700315457413,280.3249211356467,1178.5520504731862,245.9463722397476,310.12933753943224,3179.2586750788646,63.24605678233439,2023
11.05.02,11.05,Kaway XVI,Aceh Barat,Aceh,854.8,Wet,11,287.66666666666663,854.8,334.88888888888886,249.4,1480.7333333333331,244.5333333333333,309.9555555555556,3149.7333333333327,64.95555555555555,2023
11.05.02,11.05,Kaway Xvi,Aceh Barat,Aceh,853.8152225945427,Wet,11,273.85830540928663,853.8152225945427,336.04643370033506,250.9114408808041,1466.5859262805168,244.8707515557683,309.7812350406893,3156.72474868358,64.13403542364767,2023
11.05.03,11.05,Sungai Mas,Aceh Barat,Aceh,791.0453669813137,Wet,11,140.63523405894816,791.0453669813137,288.75467154690807,209.53448275862067,2026.846657676748,218.2478327875169,285.24696590252347,2761.1926411096138,52.38913504141782,2023
11.05.04,11.05,Woyla,Aceh Barat,Aceh,845.5307933194154,Wet,11,144.1920668058455,845.5307933194154,324.4117954070981,239.87108559498955,1589.3877870563672,246.803235908142,309.20354906054285,3158.752087682672,65.15553235908142,2023
11.05.05,11.05,Samatiga,Aceh Barat,Aceh,850.2167968750001,Wet,11,160.599609375,850.2167968750001,354.88867187500006,270.12695312500006,1251.2942708333333,246.27343750000009,309.20572916666674,3173.526692708334,63.052734375000014,2023
11.05.06,11.05,Bubon,Aceh Barat,Aceh,844.6249999999999,Wet,11,175.97697368421052,844.6249999999999,339.0361842105263,254.640350877193,1435.202850877193,245.36732456140356,309.4989035087719,3164.780701754385,63.45065789473684,2023
11.05.07,11.05,Arongan Lambalek,Aceh Barat,Aceh,846.8995584988963,Wet,11,101.37417218543044,846.8995584988963,351.3747240618102,266.6136865342163,1401.626931567329,247.36865342163355,308.4359823399559,3175.325055187638,62.99503311258278,2023
11.05.08,11.05,Pante Ceureumen,Aceh Barat,Aceh,818.4981116806041,Wet,11,216.25991367682764,818.4981116806041,282.78311302940386,200.9434852980848,1909.911114108444,229.88643107634212,297.4275694631778,2934.2322632856763,58.47356352845968,2023
